"Story","Title","Result","Date","Stability","Duration (s)"
"Finding New Cars","User finding a new car","SUCCESS","2020-06-23T02:42:42.847+05:30[Asia/Calcutta]","0.0","58.84"
"Finding Car price and brand names","User finding Car price and Brand names","SUCCESS","2020-06-23T02:43:41.693+05:30[Asia/Calcutta]","0.0","59.54"
